Name,Links,Cost,Cuisines,Timings,Cost_clean,cuisine_primary,_mkey,num_reviews,avg_sentiment,level_1,sentiment_score,pct_positive,pct_negative,avg_rating,num_cuisines,cuisine_north indian,cuisine_chinese,cuisine_continental,cuisine_biryani,cuisine_asian,cuisine_italian,cuisine_fast food,cuisine_desserts,cuisine_south indian,cuisine_kebab,is_open_late,price_per_star,sentiment_rating_gap,popularity_score,value_score,review_engagement,cuisine_diversity,kmeans_cluster,hierarchical_cluster
Delhi-39,https://www.zomato.com/hyderabad/delhi-39-gachibowli,600,"North Indian, Chinese",11am to 11pm (Mon-Sun),600,North Indian,delhi39,100,0.0,pct_negative,0.0,0,0,2.975,2,1,1,0,0,0,0,0,0,0,0,0,201.68060447710772,-0.4750000000000001,148.75,0.46494575223026696,0.16638935108153077,5.95,2,3
Al Saba Restaurant,https://www.zomato.com/hyderabad/al-saba-restaurant-gachibowli,750,"North Indian, Chinese, Seafood, Biryani, Hyderabadi",6 AM to 11:30 PM,750,North Indian,al saba restaurant,99,0.0008454545454545454,pct_positive,0.010101010101010102,0,0,3.1363636363636362,5,1,1,0,1,0,0,0,0,0,0,1,239.13035853814654,-0.6342499999999998,155.38125681818184,0.47367029414029693,0.1318242343541944,15.681818181818182,2,1
Al Saba Restaurant,https://www.zomato.com/hyderabad/al-saba-restaurant-gachibowli,750,"North Indian, Chinese, Seafood, Biryani, Hyderabadi",6 AM to 11:30 PM,750,North Indian,al saba restaurant,99,0.0008454545454545454,pct_negative,0.010101010101010102,0,0,3.1363636363636362,5,1,1,0,1,0,0,0,0,0,0,1,239.13035853814654,-0.6342499999999998,155.38125681818184,0.47367029414029693,0.1318242343541944,15.681818181818182,2,1
GD's,https://www.zomato.com/hyderabad/gds-gachibowli,500,"Burger, American",11:30 AM to 5 AM,500,Burger,gds,100,-0.0007240000000000003,pct_positive,0.01,0,0,3.96,2,0,0,0,0,0,0,0,0,0,0,0,126.26259437813273,-1.4618099999999998,197.856648,0.6370034225436151,0.1996007984031936,7.92,4,3
GD's,https://www.zomato.com/hyderabad/gds-gachibowli,500,"Burger, American",11:30 AM to 5 AM,500,Burger,gds,100,-0.0007240000000000003,pct_negative,0.01,0,0,3.96,2,0,0,0,0,0,0,0,0,0,0,0,126.26259437813273,-1.4618099999999998,197.856648,0.6370034225436151,0.1996007984031936,7.92,4,3
T Grill,https://www.zomato.com/hyderabad/t-grill-gachibowli,700,"North Indian, Andhra, Biryani, Chinese","12:30 PM to 3:30 PM, 7 PM to 11 PM",700,North Indian,t grill,100,0.0063690000000000005,pct_positive,0.01,0,0,3.17,4,1,1,0,1,0,0,0,0,0,0,1,220.8201196151042,-0.6540774999999996,159.5094865,0.4837841588086145,0.14265335235378032,12.68,2,1
T Grill,https://www.zomato.com/hyderabad/t-grill-gachibowli,700,"North Indian, Andhra, Biryani, Chinese","12:30 PM to 3:30 PM, 7 PM to 11 PM",700,North Indian,t grill,100,0.0063690000000000005,pct_negative,0.0,0,0,3.17,4,1,1,0,1,0,0,0,0,0,0,1,220.8201196151042,-0.6540774999999996,159.5094865,0.4837841588086145,0.14265335235378032,12.68,2,1
Momos Delight,https://www.zomato.com/hyderabad/momos-delight-gachibowli,200,Momos,6pm to 2am (Mon-Sun),200,Momos,momos delight,100,0.005859,pct_positive,0.01,0,0,3.725,1,0,0,0,0,0,0,0,0,0,0,0,53.69126075402396,-1.2103525,187.34123875,0.7023920672460868,0.4975124378109453,3.725,3,3
Momos Delight,https://www.zomato.com/hyderabad/momos-delight-gachibowli,200,Momos,6pm to 2am (Mon-Sun),200,Momos,momos delight,100,0.005859,pct_negative,0.0,0,0,3.725,1,0,0,0,0,0,0,0,0,0,0,0,53.69126075402396,-1.2103525,187.34123875,0.7023920672460868,0.4975124378109453,3.725,3,3
The Chocolate Room,https://www.zomato.com/hyderabad/the-chocolate-room-gachibowli,600,"Cafe, Desserts",10 AM to 12 Midnight,600,Cafe,the chocolate room,100,0.003612,pct_positive,0.01,0,0,2.83,2,0,0,0,0,0,0,0,1,0,0,0,212.0140593589896,-0.32097,142.011098,0.44228453069299345,0.16638935108153077,5.66,3,3
